Date, Headline
2018-02-22,U.S. stocks close mostly higher; but biotech weighs on Nasdaq
2018-02-22,Nasdaq Composite Index closes down 0.1%
2018-02-22,S&P 500 closes up 0.1%
2018-02-22,Health-care and consumer discretionary sectors join financials in the red
2018-02-22,Nasdaq slides into negative territory; down 15 points; or 0.2%; to 7;202
2018-02-22,Nasdaq rises 16 points; or 0.2%; to 7;234
2018-02-21,Stock-market rally vaporizes as 10-year yield climbs to 2.95%; dollar strengthens
2018-02-21,Dow gives up 300-point gain to end lower as bond yields rise after Fed minutes
2018-02-21,Nasdaq Composite closes off 0.2%; erasing modest; late-session gains
2018-02-21,U.S. stocks finish lower; relinquishing afternoon gains after the Fed's minutes
2018-02-21,Dow closes down about 170 points or 0.7%; S&P 500 ends 0.6% lower
2018-02-21,Stocks end volatile session lower as rally collapses in wake of Fed minutes
2018-02-21,Nasdaq retains hold on late-session rise; up 0.4% at 7;263; but off highs
2018-02-21,Dow down 20 points; or 0.1%; at 24;951; S&P 500 also briefly turns negative
2018-02-21,Dow erases nearly 300 point rally to turn negative in late-afternoon trade
2018-02-21,Dow up 80 points; or up 0.4%; at 25;057; well off session highs
2018-02-20,Walmart's stock marks worst daily point drop in its history as a publicly traded entity
2018-02-20,Dollar climbs as Treasury yields resume rise
2018-02-20,Dow; S&P 500 snap 6-day win streak; Walmart shares weigh
2018-02-20,Walmart's stock exacts more than 70-point toll from Dow industrials in late trade
2018-02-20,U.S. stocks end lower; with Walmart weighing on Dow
2018-02-20,Dow ends session down 1%; S&P 500 declines 0.5%
2018-02-20,Nasdaq ends less 0.1% lower
2018-02-20,Dow snaps 6-session win streak as Walmart shares log worst point decline in history
2018-02-20,Dow flirts with largest one-day drop in 2 weeks at its nadir as VIX kicks above 20
2018-02-20,Morgan Stanley strategist says several stock-market corrections by end of 2018 make ‘a lot of sense’
2018-02-18,European stocks end day with losses; driven lower by Daimler and Reckitt Benckiser
2018-02-18,Dow futures slip with traders on Presidents Day break
2018-02-18,Vanguard investors kept their cool during stock-market turmoil
2018-02-18,Here’s what the 30 companies that make up the Dow industrials are doing to address sexual-harassment claims
2018-02-18,The stock market’s new ‘wall of worry’ is built on inflation and rate fears
2018-02-18,People are walking into glass at the new Apple headquarters
2018-02-18,Cisco turns corner in tough transition to a new era
2018-02-18,Amazon passes Microsoft to become the 3rd-largest U.S. company
2018-02-18,These people are retiring early — but they’re not worried by the volatile markets
2018-02-18,How much of your 401(k) retirement plan is affected by market volatility?
2018-02-17,Dow Jones Industrial Average declines 141 points
2018-02-17,U.S. stocks open lower as six-day rally on track to sputter
2018-02-17,Why investors shouldn’t fear a rising-rate environment
2018-02-17,BlackRock says it’s time to give U.S. stocks more love — try these sectors
2018-02-17,‘Black Panther’s’ strong weekend box office makes it biggest-ever February release
2018-02-17,Higher inflation; Trump tax-and-spend boom leave investors looking for Fed clues
2018-02-17,Analysts are swooning over ADT — with one exception
2018-02-17,Goldman’s Lloyd Blankfein: ‘The odds of a bad outcome have gone up’
2018-02-17,Former SEC boss says U.S. has become ‘a nation of day traders’
2018-02-16,How a 6;000% profit on a single trade saved a small hedge fund from disaster
2018-02-16,Dow; S&P 500 book 6th straight gain as stocks post best week in years; Nasdaq lags
2018-02-16,Dow; S&P 500 book slight gains; mark 6th straight advance
2018-02-16,Nasdaq posts best week since December 2011
2018-02-16,Dow posts largest weekly gain since Nov. 2016
2018-02-16,Nasdaq Composite closes lower by 0.2%
2018-02-16,Dow Jones Industrial Average advances 20 points
2018-02-16,S&P 500 up by 1 point
2018-02-16,U.S. stocks end flat to slightly lower; Dow and S&P 500 clinch six-day win streak
2018-02-16,Apple's stock on track for biggest 6-day gain in nearly 4 years
2018-02-16,Dow rebounds as Rosenstein says no allegation any American participated in unlawful activity with Russia
2018-02-15,This chart warns that the 30-year downtrend in interest rates may be over
2018-02-15,Cisco shares close at post-dot-com high as more than half of analysts hike price targets
2018-02-15,Dow logs 3rd gain in a row ahead of key inflation report
2018-02-15,Stocks close higher for fifth straight session as Dow reclaims 25;000-level
2018-02-15,Bitcoin’s key problems illustrated by the ECB; in one simple chart
2018-02-15,Stocks end higher for fifth straight session
2018-02-15,McDonald’s Happy Meals will nix cheeseburgers starting in June
2018-02-15,Nasdaq Composite climbs more than 1.5%
2018-02-15,10-year Treasury yield retreats from 4-year high
2018-02-15,S&P 500 up by 1.2%
2018-02-14,Florida police: Shooter in custody; with reports of 17 fatalities at Broward high school
2018-02-14,Dow ends up 250 points as stock market marks longest win streak in about 5 weeks
2018-02-14,10-year Treasury yield tops 2.90% as inflation data stokes rate-hike concerns
2018-02-14,U.S. stocks gain for fourth session led by powerful Nasdaq rally
2018-02-14,Five economic reasons not to panic over the stock-market roller coaster
2018-02-14,Dow Jones Industrial Average closes up 1%
2018-02-14,U.S. stocks close sharply higher; extending rally to fourth straight session
2018-02-14,Nasdaq Composite Index closes up 1.9% on the day
2018-02-14,S&P 500 ends 1.4% higher on the day
2018-02-14,Dow's rally comes with panic-like buying; as NYSE's Arms falls to lowest level in 15 months
